a	ˈeɪ
aa	ˈɑː
aal	ˈɑːl
aalii	ˈɑːlɪˌaɪ
aam	ˈɑːm
aani	ˈɑːni
aardvark	ˈɑːɹdvɑːɹk
aardwolf	ˈɑːɹdwʊlf
aaron	ˈɛɹən
aaronic	ˈɑːɹɹˈɑːnɪk
aaronical	ˈɑːɹɹˈɑːnɪkəl
aaronite	ˈɑːɹɹənˌaɪt
aaronitic	ˌɑːɹɹənˈɪɾɪk
aaru	ˈɑːɹɹuː
ab	ˈæb
aba	ɐbˈæ
ababdeh	ɐbˈæbdeɪ
ababua	ɐbˈæbjuːə
abac	ɐbˈæk
abaca	æbˈɑːkə
abacate	ˈæbɐkˌeɪt
abacay	ˈæbɐkˌeɪ
abacinate	æbˈæsᵻnˌeɪt
abacination	ˌæbɐsᵻnˈeɪʃən
abaciscus	ˈæbɐsˌɪskəs
abacist	ˈæbɐsˌɪst
aback	ɐbˈæk
abactinal	ɐbˈæktɪnəl
abactinally	ɐbˈæktɪnəli
abaction	ɐbˈækʃən
abactor	ɐbˈæktɚ
abaculus	æbˈækjʊləs
abacus	ˈæbækəs
abadite	ɐbˈædaɪt
abaff	ɐbˈæf
abaft	ɐbˈæft
abaisance	ɐbˈeɪsəns
abaiser	ɐbˈeɪzɚ
abaissed	ɐbˈeɪɪst
abalienate	ɐbˈeɪliənˌeɪt
abalienation	ɐbˌeɪliənˈeɪʃən
abalone	ɐbˈæloʊn
abama	ɐbˈɑːmə
abampere	ɐbˈæmpɛɹ
abandon	ɐbˈændən
abandonable	ɐbˈændoʊnəbəl
abandoned	ɐbˈændənd
abandonedly	ɐbˈændoʊnˌɪdli
abandonee	ɐbˈændoʊnˌiː
abandoner	ɐbˈændoʊnɚ
abandonment	ɐbˈændənmənt
abanic	ɐbˈænɪk
abantes	ɐbˈænts
abaptiston	ɐbˈæptɪstən
abarambo	ɐbɐɹˈæmboʊ
abaris	ɐbˈɑːɹɹɪs
abarthrosis	ɐbɑːɹθɹˈoʊsɪs
abarticular	ɐbɑːɹtˈɪkjʊlɚ
abarticulation	ɐbˌɑːɹɾɪkjʊlˈeɪʃən
abas	ɐbˈæz
abase	ɐbˈeɪs
abased	ɐbˈeɪst
abasedly	ɐbˈeɪsɪdli
abasedness	ɐbˈeɪstnəs
abasement	ɐbˈeɪsmənt
abaser	ɐbˈeɪsɚ
abasgi	ɐbˈæsɡi
abash	ɐbˈæʃ
abashed	ɐbˈæʃt
abashedly	ɐbˈæʃᵻdli
abashedness	ɐbˈæʃtnəs
abashless	ɐbˈæʃləs
abashlessly	ɐbˈæʃləsli
abashment	ɐbˈæʃmənt
abasia	ɐbˈeɪsiə
abasic	ɐbˈeɪsɪk
abask	ɐbˈæsk
abassin	ɐbˈæsɪn
abastardize	ɐbˈæstɚdˌaɪz
abatable	ɐbˈeɪɾəbəl
abate	ɐbˈeɪt
abatement	ɐbˈeɪtmənt
abater	ɐbˈeɪɾɚ
abatis	ɐbˈɑːɾiz
abatised	ɐbˈæɾaɪzd
abaton	ɐbˈætən
abator	ɐbˈeɪɾɚ
abattoir	ˈæbɐtwˌɑːɹ
abatua	ɐbˈæɾuːə
abature	ɐbˈætʃɚ
abave	ɐbˈeɪv
abaxial	ɐbˈeɪksɪəl
abaxile	ɐbˈæksaɪl
abaze	ɐbˈeɪz
abb	ˈæb
abba	ˈæbə
abbacomes	ˈæbɐkˌʌmz
abbacy	ˈæbəsi
abbadide	ˈæbɐdˌaɪd
abbas	ˈæbəz
abbasi	æbˈɑːsi
abbassi	ˈæbæsi
abbasside	ˈæbɐsˌaɪd
abbatial	æbˈeɪʃəl
abbatical	æbˈæɾɪkəl
abbess	ˈæbɛs
abbey	ˈæbi
abbeystede	ˈæbɪstˌɛd
abbie	ˈæbi
abbot	ˈæbət
abbotcy	ˈæbətsi
abbotnullius	ˌæbətnˈʌlɪəs
abbotship	ˈæbətʃˌɪp
abbreviate	ɐbɹˈiːvɪˌeɪt
abbreviately	ɐbɹˈiːvɪˌeɪtli
abbreviation	ɐbɹˌiːvɪˈeɪʃən
abbreviator	ɐbɹˈiːvɪˌeɪɾɚ
abbreviatory	ɐbɹˈiːvɪətˌɔːɹi
abbreviature	ɐbɹˈiːvɪətʃɚ
abby	ˈæbi
abcoulomb	ɐbkˈuːlɑːm
abdal	ˈæbdəl
abdat	ˈæbdæt
abderian	æbdˈɪɹiən
abderite	ˈæbdɚɹˌaɪt
abdest	ˈæbdɪst
abdicable	ˈæbdɪkəbəl
abdicant	ˈæbdɪkənt
abdicate	ˈæbdᵻkˌeɪt
abdication	ˌæbdɪkˈeɪʃən
abdicative	ˈæbdɪkətˌɪv
abdicator	ˈæbdᵻkˌeɪɾɚ
abdiel	ˈæbdiːl
abditive	ˈæbdᵻtˌɪv
abditory	ˈæbdɪtˌɔːɹi
abdomen	ˈæbdəmən
abdominal	æbdˈɑːmɪnəl
abdominales	ˈæbdəmˌɪneɪlz
abdominalian	ˌæbdəmɪnˈeɪliən
abdominally	æbdˈɑːmɪnəli
abdominoanterior	ˌæbdəmˌɪnoʊntˈɪɹiɚ
abdominocardiac	ˌæbdəmˌɪnəkˈɑːɹdiˌæk
abdominocentesis	ˌæbdəmˌɪnoʊsəntˈiːsɪs
abdominocystic	ˌæbdəmˌɪnəsˈɪstɪk
abdominogenital	ˈæbdəmˌɪnoʊdʒnˌɪɾəl
abdominohysterectomy	ˌæbdəmˌɪnoʊˌɪstɚɹˈɛktəmi
abdominohysterotomy	ˌæbdəmˌɪnoʊˌɪstɚɹˈoʊɾəmi
abdominoposterior	ˌæbdəmˌɪnəpəstˈɪɹiɚ
abdominoscope	ˈæbdəmˌɪnəskˌoʊp
abdominoscopy	ˌæbdəmɪnˈɑːskəpi
abdominothoracic	ˌæbdəmˌɪnəθɔːɹˈæsɪk
abdominous	ˈæbdəmˌɪnəs
abdominovaginal	ˈæbdəmˌɪnəvˌædʒɪnəl
abdominovesical	ˌæbdəmɪnˈoʊvzɪkəl
abduce	ɐbdˈuːs
abducens	ɐbdˈuːsənz
abducent	ɐbdˈuːsənt
abduct	ɐbdˈʌkt
abduction	ɐbdˈʌkʃən
abductor	ɐbdˈʌktɚ
abe	ˈeɪb
abeam	ɐbˈiːm
abear	ɐbˈɛɹ
abearance	ɐbˈɛɹəns
abecedarian	ɐbˌɛsɪdˈɛɹiən
abecedarium	ɐbˌɛsɪdˈɛɹiəm
abecedary	ɐbˈɛsɪdˌɛɹi
abed	ɐbˈɛd
abeigh	ɐbˈeɪ
abel	ˈeɪbəl
abele	ˈeɪbəl
abelia	ˈeɪbəlˌiə
abelian	ˈeɪbəlˌiən
abelicea	ˌeɪbəlˈaɪsiə
abelite	ˈeɪbəlˌaɪt
abelmoschus	ˈeɪbəlmˌɑːʃəs
abelmosk	ˈeɪbəlmˌɑːsk
abelonian	ˌeɪbəlˈoʊniən
abeltree	ˈeɪbəltɹˌiː
abencerrages	ɐbˈɛnsɪɹɪdʒᵻz
abenteric	ɐbəntˈɛɹɪk
abepithymia	ɐbˌɛpɪθˈɪmiə
aberdeen	ˌæbɚdˈiːn
aberdevine	ˌæbɚdˈɛvaɪn
aberdonian	ˌæbɚdˈoʊniən
aberia	ˈæbɚɹˌiə
aberrance	ɐbˈɛɹəns
aberrancy	ɐbˈɛɹənsi
aberrant	ɐbˈɛɹənt
aberrate	ˌæbɚɹˈeɪt
aberration	ˌæbɚɹˈeɪʃən
aberrational	ˌæbɚɹˈeɪʃənəl
aberrator	ˌæbɚɹˈeɪɾɚ
aberrometer	ˌæbɚɹˈɑːmɪɾɚ
aberroscope	ˌæbɚɹˈɑːskoʊp
aberuncator	ˌæbɚɹˈʌŋkeɪɾɚ
abet	ɐbˈɛt
abetment	ɐbˈɛtmənt
abettal	ɐbˈɛɾəl
abettor	ɐbˈɛɾɚ
abevacuation	ɐbˌɛvɐkjuːˈeɪʃən
abey	ɐbˈeɪ
abeyance	ɐbˈeɪəns
abeyancy	ɐbˈeɪənsi
abeyant	ɐbˈeɪənt
abfarad	ɐbfˈæɹæd
abhenry	ɐbhˈɛnɹi
abhiseka	ɐbhˈaɪskə
abhominable	ɐbhˈɑːmɪnəbəl
abhor	ɐbhˈɔːɹ
abhorrence	ɐbhˈɔɹəns
abhorrency	ɐbhˈɔɹənsi
abhorrent	ɐbhˈɔɹənt
abhorrently	ɐbhˈɔɹəntli
abhorrer	ɐbhˈɔɹə
abhorrible	ɐbhˈɔːɹᵻbəl
abhorring	ɐbhˈɔːɹɪŋ
abhorson	ɐbhˈɔːɹsən
abidal	ˈæbɪdəl
abidance	ˈæbɪdəns
abide	ɐbˈaɪd
abider	ɐbˈaɪdɚ
abidi	æbˈɪdi
abiding	ɐbˈaɪdɪŋ
abidingly	ɐbˈaɪdɪŋli
abidingness	ɐbˈaɪdɪŋnəs
abie	ˈæbi
abies	ɐbˈaɪz
abietate	ˈæbaɪətˌeɪt
abietene	ˈæbaɪətˌiːn
abietic	æbˈaɪəɾɪk
abietin	ˈæbaɪətˌɪn
abietineae	ˈæbaɪətˌɪniː
abietineous	ˌæbaɪətˈaɪniəs
abietinic	ˌæbaɪətˈɪnɪk
abiezer	ˈæbiːzɚ
abigail	ˈæbɪɡˌeɪl
abigailship	ˈæbɪɡˌeɪlʃɪp
abigeat	ˈæbaɪdʒˌæt
abigeus	ˈæbaɪdʒˌiəs
abilao	æbˈɪlaʊ
ability	ɐbˈɪləɾi
abilla	æbˈɪlə
abilo	æbˈɪloʊ
abintestate	ˈæbɪntˌɛsteɪt
abiogenesis	ˌæbɪoʊdʒˈɛnᵻsˌɪs
abiogenesist	ˌæbɪoʊdʒˈɛnᵻsˌɪst
abiogenetic	ˌæbɪoʊdʒnˈɛɾɪk
abiogenetical	ˌæbɪoʊdʒnˈɛɾɪkəl
abiogenetically	ˌæbɪoʊdʒnˈɛɾɪkli
abiogenist	ˈæbɪˌoʊdʒnɪst
abiogenous	ˌæbɪˈɑːdʒənəs
abiogeny	ˌæbɪˈɑːdʒɛni
abiological	ˌæbɪəlˈɑːdʒɪkəl
abiologically	ˌæbɪəlˈɑːdʒɪkli
abiology	ˌæbaɪˈɑːlədʒi
abiosis	ˌæbɪˈoʊsɪs
abiotic	ˌæbɪˈɑːɾɪk
abiotrophic	ˌæbɪətɹˈoʊfɪk
abiotrophy	ˈæbɪˌɑːtɹəfi
abipon	ˈæbɪpˌɑːn
abir	ˈæbɪɹ
abirritant	ˈæbɚɹˌɪtənt
abirritate	æbˈɜːɹᵻtˌeɪt
abirritation	ˌæbɚɹɪtˈeɪʃən
abirritative	ˈæbɚɹᵻtˌeɪɾɪv
abiston	ˈæbɪstən
abitibi	ˈæbɪtˌɪbaɪ
abiuret	ˈæbɪjˌuːɹət
abject	ˈæbdʒɛkt
abjectedness	ˈæbdʒɪktᵻdnəs
abjection	æbdʒˈɛkʃən
abjective	æbdʒˈɛktɪv
abjectly	ˈæbdʒɛktli
abjectness	ˈæbdʒɛktnəs
abjoint	ɐbdʒˈɔɪnt
abjudge	ɐbdʒˈʌdʒ
abjudicate	ɐbdʒˈuːdᵻkˌeɪt
abjudication	ɐbdʒˌuːdɪkˈeɪʃən
abjunction	ɐbdʒˈʌŋkʃən
abjunctive	ɐbdʒˈʌŋktɪv
abjuration	ɐbdʒjʊɹˈeɪʃən
abjuratory	ɐbdʒjˈʊɹeɪtˌɔːɹi
abjure	ɐbdʒjˈʊɹ
abjurement	ɐbdʒjˈʊɹmənt
abjurer	ɐbdʒjˈʊɹɹɚ
abkar	ɐbkˈɑːɹ
abkari	ɐbkˈɑːɹɹi
abkhas	ɐbkˈæz
abkhasian	ɐbkhˈeɪʒən
ablach	ɐblˈætʃ
ablactate	ɐblˈækteɪt
ablactation	ɐblɐktˈeɪʃən
ablare	ɐblˈɛɹ
ablastemic	ɐblɐstˈɛmɪk
ablastous	ɐblˈæstəs
ablate	ɐblˈeɪt
ablation	ɐblˈeɪʃən
ablatitious	ɐblɐtˈɪʃəs
ablatival	ˈæblɐtˌɪvəl
ablative	ˈæblətˌɪv
ablator	ɐblˈeɪɾɚ
ablaut	ˈæblaʊt
ablaze	ɐblˈeɪz
able	ˈeɪbəl
ableeze	ˈeɪbəlˌɛz
ablegate	ˈeɪbəlɡˌeɪt
ableness	ˈeɪbəlnəs
ablepharia	ˌeɪbəlfˈæɹiə
ablepharon	ˈeɪbəlfˌæɹən
ablepharous	ˈeɪbəlfɚɹəs
ablepharus	ˈeɪbəlfˌɑːɹɹəs
ablepsia	ˈeɪbəlpsˌiə
ableptical	ˈeɪbəlptˌɪkəl
ableptically	ˈeɪbəlptˌɪkli
abler	ˈeɪblɚ
ablest	ˈeɪbləst
ablewhackets	ˈeɪbəlwˌækɪts
ablins	ɐblˈɪnz
abloom	ɐblˈuːm
ablow	ɐblˈoʊ
ablude	ɐblˈuːd
abluent	ɐblˈuːənt
ablush	ɐblˈʌʃ
ablution	ɐblˈuːʃən
ablutionary	ɐblˈuːʃənˌɛɹi
abluvion	ɐblˈuːviən
ably	ˈeɪbli
abmho	ɐbmhˈoʊ
abnaki	ɐbnˈæki
abnegate	ˈæbnɪɡˌeɪt
abnegation	ˌæbnɪɡˈeɪʃən
abnegative	ˈæbnɪɡətˌɪv
abnegator	ˈæbnɪɡˌeɪɾɚ
abner	ɐbnˈɜː
abnerval	ɐbnˈɜːvəl
abnet	ɐbnˈɛt
abneural	ɐbnˈʊɹɹəl
abnormal	ɐbnˈɔːɹməl
abnormalism	ɐbnˈɔːɹməlˌɪzəm
abnormalist	ɐbnˈɔːɹməlˌɪst
abnormality	ɐbnɔːɹmˈælᵻɾi
abnormalize	ɐbnˈɔːɹməlˌaɪz
abnormally	ɐbnˈɔːɹməli
abnormalness	ɐbnˈɔːɹməlnəs
abnormity	ɐbnˈɔːɹmᵻɾi
abnormous	ɐbnˈɔːɹməs
abnumerable	ɐbnˈuːmɚɹəbəl
abo	ɐbˈoʊ
aboard	ɐbˈɔːɹd
abobra	ɐbˈɑːbɹə
abode	ɐbˈoʊd
abodement	ɐbˈoʊdmənt
abody	ɐbˈɑːdi
abohm	ɐbˈoʊm
aboil	ɐbˈɔɪl
abolish	ɐbˈɑːlɪʃ
abolisher	ɐbˈɑːlɪʃɚ
abolishment	ɐbˈɑːlɪʃmənt
abolition	ˌæbəlˈɪʃən
abolitionary	ˌæbəlˈɪʃənˌɛɹi
abolitionism	ˌæbəlˈɪʃənˌɪzəm
abolitionist	ˌæbəlˈɪʃənˌɪst
abolitionize	ˌæbəlˈɪʃənˌaɪz
abolla	ɐbˈɑːlə
aboma	ɐbˈoʊmə
abomasum	ɐbˈɑːmæsəm
abomasus	ɐbˈɑːmæsəs
abominable	ɐbˈɑːmɪnəbəl
abominableness	ɐbˈɑːmɪnəbəlnəs
abominably	ɐbˈɑːmɪnəbli
abominate	ɐbˈɑːmᵻnˌeɪt
abomination	ɐbˌɑːmᵻnˈeɪʃən
abominator	ɐbˈɑːmᵻnˌeɪɾɚ
abomine	ɐbˈɑːmaɪn
abongo	ɐbˈɑːŋɡoʊ
aboon	ɐbˈuːn
aborad	ɐbˈɔːɹæd
aboral	ɐbˈɔːɹəl
aborally	ɐbˈɔːɹəli
abord	ɐbˈɔːɹd
aboriginal	ˌæbɚɹˈɪdʒɪnəl
aboriginality	ˌæbɚɹˌɪdʒɪnˈælᵻɾi
aboriginally	ˌæbɚɹˈɪdʒɪnəli
aboriginary	ˌæbɚɹˈɪdʒɪnˌɛɹi
aborigine	ˌæbɚɹˈɪdʒəni
abort	ɐbˈɔːɹt
aborted	ɐbˈɔːɹɾᵻd
aborticide	ɐbˈɔːɹɾɪsˌaɪd
abortient	ɐbˈɔːɹʃənt
abortifacient	ɐbˈɔːɹɾɪfˌeɪʃənt
abortin	ɐbˈɔːɹtɪn
abortion	ɐbˈɔːɹʃən
abortional	ɐbˈɔːɹʃənəl
abortionist	ɐbˈɔːɹʃənˌɪst
abortive	ɐbˈɔːɹɾɪv
abortively	ɐbˈɔːɹɾɪvli
abortiveness	ɐbˈɔːɹɾɪvnəs
abortus	ɐbˈɔːɹɾəs
abouchement	ɐbˈaʊʃmɔ̃
abound	ɐbˈaʊnd
abounder	ɐbˈaʊndɚ
abounding	ɐbˈaʊndɪŋ
aboundingly	ɐbˈaʊndɪŋli
about	ɐbˈaʊt
abouts	ɐbˈaʊts
above	əbˈʌv
aboveboard	ɐbˌʌvbˈɔːɹd
abovedeck	ɐbˌʌvdˈɛk
aboveground	ɐbˌʌvɡɹˈaʊnd
aboveproof	ɐbˌʌvpɹˈuːf
abovestairs	ɐbˌʌvstˈɛɹz
abox	ɐbˈɑːks
abracadabra	ˌæbɹəkədˈæbɹə
abrachia	æbɹˈeɪʃə
abradant	ɐbɹˈædənt
abrade	ɐbɹˈeɪd
abrader	ɐbɹˈeɪdɚ
abraham	ˈeɪbɹəhˌæm
abrahamic	ɐbɹɐhˈæmɪk
abrahamidae	ɐbɹˈæhɐmˌɪdiː
abrahamite	ɐbɹˈæhɐmˌaɪt
abrahamitic	ɐbɹˌæhɐmˈɪɾɪk
abraid	ɐbɹˈeɪd
abram	ˈeɪbɹæm
abramis	eɪbɹˈɑːmiz
abranchial	ɐbɹˈæŋkɪəl
abranchialism	ɐbɹˈæŋkɪəlˌɪzəm
abranchian	ɐbɹˈæŋkiən
